2024-01-11 09:58:05,265 | __main__ | INFO | The pictures has been downloaded successfully
2024-01-11 09:58:06,816 | __main__ | INFO | The pictures has been downloaded successfully
2024-01-11 09:58:08,039 | __main__ | INFO | The pictures has been downloaded successfully
2024-01-11 09:58:09,287 | __main__ | INFO | The pictures has been downloaded successfully
2024-01-11 09:58:10,990 | __main__ | INFO | The pictures has been downloaded successfully
2024-01-11 09:58:12,133 | __main__ | INFO | The pictures has been downloaded successfully
2024-01-11 09:58:13,900 | __main__ | INFO | The pictures has been downloaded successfully
2024-01-11 09:58:15,250 | __main__ | INFO | The pictures has been downloaded successfully
2024-01-11 09:58:17,069 | __main__ | INFO | The pictures has been downloaded successfully
2024-01-11 09:58:18,388 | __main__ | INFO | The pictures has been downloaded successfully
2024-01-11 09:58:19,738 | __main__ | INFO | The pictures has been downloaded successfully
2024-01-11 09:58:20,882 | __main__ | INFO | The pictures has been downloaded successfully
2024-01-11 09:58:22,048 | __main__ | INFO | The pictures has been downloaded successfully
2024-01-11 09:58:23,209 | __main__ | INFO | The pictures has been downloaded successfully
2024-01-11 09:58:24,365 | __main__ | INFO | The pictures has been downloaded successfully
2024-01-11 09:58:25,548 | __main__ | INFO | The pictures has been downloaded successfully
2024-01-11 09:58:26,717 | __main__ | INFO | The pictures has been downloaded successfully
2024-01-11 09:58:26,717 | __main__ | INFO | The pictures has been downloaded successfully
2024-01-11 09:58:27,902 | __main__ | INFO | The pictures has been downloaded successfully
2024-01-11 09:58:29,087 | __main__ | INFO | The pictures has been downloaded successfully
2024-01-11 09:58:30,268 | __main__ | INFO | The pictures has been downloaded successfully
2024-01-11 09:58:31,415 | __main__ | INFO | The pictures has been downloaded successfully
2024-01-11 09:58:32,635 | __main__ | INFO | The pictures has been downloaded successfully
2024-01-11 09:58:33,818 | __main__ | INFO | The pictures has been downloaded successfully
2024-01-11 09:58:35,018 | __main__ | INFO | The pictures has been downloaded successfully
2024-01-11 09:58:36,199 | __main__ | INFO | The pictures has been downloaded successfully
2024-01-11 09:58:37,366 | __main__ | INFO | The pictures has been downloaded successfully
2024-01-11 09:58:38,551 | __main__ | INFO | The pictures has been downloaded successfully
2024-01-11 09:58:39,719 | __main__ | INFO | The pictures has been downloaded successfully
2024-01-11 09:58:40,866 | __main__ | INFO | The pictures has been downloaded successfully
2024-01-11 09:58:42,051 | __main__ | INFO | The pictures has been downloaded successfully
2024-01-11 09:58:43,251 | __main__ | INFO | The pictures has been downloaded successfully
2024-01-11 09:58:44,419 | __main__ | INFO | The pictures has been downloaded successfully
2024-01-11 09:58:45,582 | __main__ | INFO | The pictures has been downloaded successfully
2024-01-11 09:58:46,736 | __main__ | INFO | The pictures has been downloaded successfully
2024-01-11 09:58:47,916 | __main__ | INFO | The pictures has been downloaded successfully
2024-01-11 09:58:49,117 | __main__ | INFO | The pictures has been downloaded successfully
2024-01-11 09:58:49,117 | __main__ | INFO | The pictures has been downloaded successfully
2024-01-11 09:58:50,298 | __main__ | INFO | The pictures has been downloaded successfully
2024-01-11 09:58:51,500 | __main__ | INFO | The pictures has been downloaded successfully
2024-01-11 09:58:51,500 | __main__ | INFO | PROCCESS FINISHED
2024-01-12 12:23:19,084 | main | INFO | Running script
2024-01-12 12:23:33,071 | main | INFO | Open browser: The browser was opened successfully
2024-01-12 12:23:33,071 | main | INFO | Checking dates
2024-01-12 12:24:06,443 | main | INFO | Checking dates finished. Number of pages: 6
2024-01-12 12:24:06,443 | main | INFO | Getting the results
2024-01-12 12:24:18,943 | main | INFO | The results has been gotten
2024-01-12 12:24:18,943 | main | INFO | Exporting the results to Excel file
2024-01-12 12:24:28,755 | main | INFO | The results has been exported successfully
2024-01-12 12:24:28,755 | main | INFO | Starting downloading the pictures
2024-01-12 12:24:32,567 | main | INFO | The pictures has been downloaded successfully
2024-01-12 12:24:34,061 | main | INFO | The pictures has been downloaded successfully
2024-01-12 12:24:35,521 | main | INFO | The pictures has been downloaded successfully
2024-01-12 12:24:37,006 | main | INFO | The pictures has been downloaded successfully
2024-01-12 12:24:38,490 | main | INFO | The pictures has been downloaded successfully
2024-01-12 12:24:39,986 | main | INFO | The pictures has been downloaded successfully
2024-01-12 12:24:41,427 | main | INFO | The pictures has been downloaded successfully
2024-01-12 12:24:42,942 | main | INFO | The pictures has been downloaded successfully
2024-01-12 12:24:44,432 | main | INFO | The pictures has been downloaded successfully
2024-01-12 12:24:45,911 | main | INFO | The pictures has been downloaded successfully
2024-01-12 12:24:47,417 | main | INFO | The pictures has been downloaded successfully
2024-01-12 12:24:48,881 | main | INFO | The pictures has been downloaded successfully
2024-01-12 12:24:50,395 | main | INFO | The pictures has been downloaded successfully
2024-01-12 12:24:51,869 | main | INFO | The pictures has been downloaded successfully
2024-01-12 12:24:53,334 | main | INFO | The pictures has been downloaded successfully
2024-01-12 12:24:55,099 | main | INFO | The pictures has been downloaded successfully
2024-01-12 12:24:56,600 | main | INFO | The pictures has been downloaded successfully
2024-01-12 12:24:58,239 | main | INFO | The pictures has been downloaded successfully
2024-01-12 12:24:59,709 | main | INFO | The pictures has been downloaded successfully
2024-01-12 12:25:01,448 | main | INFO | The pictures has been downloaded successfully
2024-01-12 12:25:02,911 | main | INFO | The pictures has been downloaded successfully
2024-01-12 12:25:04,459 | main | INFO | The pictures has been downloaded successfully
2024-01-12 12:25:05,943 | main | INFO | The pictures has been downloaded successfully
2024-01-12 12:25:07,490 | main | INFO | The pictures has been downloaded successfully
2024-01-12 12:25:09,025 | main | INFO | The pictures has been downloaded successfully
2024-01-12 12:25:10,537 | main | INFO | The pictures has been downloaded successfully
2024-01-12 12:25:12,052 | main | INFO | The pictures has been downloaded successfully
2024-01-12 12:25:13,493 | main | INFO | The pictures has been downloaded successfully
2024-01-12 12:25:14,974 | main | INFO | The pictures has been downloaded successfully
2024-01-12 12:25:16,552 | main | INFO | The pictures has been downloaded successfully
2024-01-12 12:25:18,333 | main | INFO | The pictures has been downloaded successfully
2024-01-12 12:25:19,786 | main | INFO | The pictures has been downloaded successfully
2024-01-12 12:25:21,395 | main | INFO | The pictures has been downloaded successfully
2024-01-12 12:25:22,865 | main | INFO | The pictures has been downloaded successfully
2024-01-12 12:25:24,411 | main | INFO | The pictures has been downloaded successfully
2024-01-12 12:25:25,880 | main | INFO | The pictures has been downloaded successfully
2024-01-12 12:25:27,443 | main | INFO | The pictures has been downloaded successfully
2024-01-12 12:25:27,443 | main | INFO | The pictures has been downloaded successfully
2024-01-12 12:25:28,943 | main | INFO | The pictures has been downloaded successfully
2024-01-12 12:25:30,775 | main | INFO | The pictures has been downloaded successfully
2024-01-12 12:25:32,272 | main | INFO | The pictures has been downloaded successfully
2024-01-12 12:25:33,787 | main | INFO | The pictures has been downloaded successfully
2024-01-12 12:25:35,393 | main | INFO | The pictures has been downloaded successfully
2024-01-12 12:25:36,927 | main | INFO | The pictures has been downloaded successfully
2024-01-12 12:25:38,447 | main | INFO | The pictures has been downloaded successfully
2024-01-12 12:25:40,005 | main | INFO | The pictures has been downloaded successfully
2024-01-12 12:25:41,458 | main | INFO | The pictures has been downloaded successfully
2024-01-12 12:25:42,943 | main | INFO | The pictures has been downloaded successfully
2024-01-12 12:25:44,412 | main | INFO | The pictures has been downloaded successfully
2024-01-12 12:25:46,119 | main | INFO | The pictures has been downloaded successfully
2024-01-12 12:25:47,599 | main | INFO | The pictures has been downloaded successfully
2024-01-12 12:25:49,100 | main | INFO | The pictures has been downloaded successfully
2024-01-12 12:25:50,572 | main | INFO | The pictures has been downloaded successfully
2024-01-12 12:25:52,080 | main | INFO | The pictures has been downloaded successfully
2024-01-12 12:25:53,505 | main | INFO | The pictures has been downloaded successfully
2024-01-12 12:25:55,241 | main | INFO | The pictures has been downloaded successfully
2024-01-13 13:16:10,678 | main | INFO | Running script
2024-01-13 13:16:27,182 | main | INFO | Open browser: The browser was opened successfully
2024-01-13 13:16:27,185 | main | INFO | Checking dates
2024-01-13 13:16:43,224 | main | INFO | Checking dates finished. Number of pages: 3
2024-01-13 13:16:43,224 | main | INFO | Getting the results
2024-01-13 13:16:51,931 | main | INFO | The results has been gotten
2024-01-13 13:16:51,931 | main | INFO | Exporting the results to Excel file
2024-01-13 13:17:10,301 | main | INFO | The results has been exported successfully
2024-01-13 13:17:10,301 | main | INFO | Starting downloading the pictures
2024-01-13 13:17:13,425 | main | INFO | The pictures has been downloaded successfully
2024-01-13 13:17:14,920 | main | INFO | The pictures has been downloaded successfully
2024-01-13 13:17:16,434 | main | INFO | The pictures has been downloaded successfully
2024-01-13 13:17:18,283 | main | INFO | The pictures has been downloaded successfully
2024-01-13 13:17:19,856 | main | INFO | The pictures has been downloaded successfully
2024-01-13 13:17:21,394 | main | INFO | The pictures has been downloaded successfully
2024-01-13 13:17:23,188 | main | INFO | The pictures has been downloaded successfully
2024-01-13 13:17:24,639 | main | INFO | The pictures has been downloaded successfully
2024-01-13 13:17:26,399 | main | INFO | The pictures has been downloaded successfully
2024-01-13 13:17:27,930 | main | INFO | The pictures has been downloaded successfully
2024-01-13 13:17:29,502 | main | INFO | The pictures has been downloaded successfully
2024-01-13 13:17:30,985 | main | INFO | The pictures has been downloaded successfully
2024-01-13 13:17:32,426 | main | INFO | The pictures has been downloaded successfully
2024-01-13 13:17:34,068 | main | INFO | The pictures has been downloaded successfully
2024-01-13 13:17:35,474 | main | INFO | The pictures has been downloaded successfully
2024-01-13 13:17:36,939 | main | INFO | The pictures has been downloaded successfully
2024-01-13 13:17:39,865 | main | INFO | The pictures has been downloaded successfully
2024-01-13 13:17:41,397 | main | INFO | The pictures has been downloaded successfully
2024-01-13 13:17:43,078 | main | INFO | The pictures has been downloaded successfully
2024-01-13 13:17:44,855 | main | INFO | The pictures has been downloaded successfully
2024-01-14 08:50:32,094 | main | INFO | Running script
2024-01-14 08:50:39,494 | main | INFO | Open browser: The browser was opened successfully
2024-01-14 08:50:39,503 | main | INFO | Checking dates
2024-01-14 08:50:55,510 | main | INFO | Checking dates finished. Number of pages: 3
2024-01-14 08:50:55,521 | main | INFO | Getting the results
2024-01-14 08:51:04,710 | main | INFO | The results has been gotten
2024-01-14 08:51:04,710 | main | INFO | Exporting the results to Excel file
2024-01-14 08:51:22,228 | main | INFO | The results has been exported successfully
2024-01-14 09:56:33,460 | main | INFO | Running script
2024-01-14 09:56:41,116 | main | INFO | Open browser: The browser was opened successfully
2024-01-14 09:56:41,127 | main | INFO | Checking dates
